name,category,text,text_length,has_pics,has_response
Bumpin Buffalo Bar and Grill,"Bar & grill, Family restaurant, Group accommodation, Restaurant, Wine bar","Crappy service and crappy food, took an hour and a half to get my food and they offered me a loussey 20 percent off, I would never eat here again",145,False,False
Super 8 by Wyndham Deadwood/Black Hills Area,"Hotel, Lodge",Very clean rooms close to the town and restaurants beautiful scenery very friendly people I would come back and stay there.,123,False,False
Mitchell KOA Journey,"Campground, Camp, Lodge, RV park","It is a KOA, what did I expect? It far enough from the interstate to be quiet but the highway that is adjacent is an commercial thoroughfair. Morning wake up was by heavy trucks. Amenities are good, clean bathrooms and showers. Tent sites are small. Typical of KOAs I have stayed in in the past.",295,False,False
The Mud Hole of the Black Hills,"Cafe, Second hand store",Yummy,5,False,True
White's Queen City Motors,"Chevrolet dealer, Buick dealer",GREAT OVERALL SERVICE & PERSONAL,32,False,False
Roma Ristorante Italiano,"Restaurant, Bar & grill, Caterer, Event venue, Italian restaurant, Live music venue",Excellent service and delicious food.,37,False,False
Spearfish Canyon Lodge,"Resort hotel, ATV rental service, Banquet hall, Event venue, Hotel, Lodge, Restaurant, Snowmobile rental service, Wedding planner, Wedding venue",We had a great experience here last week. Beautiful cool place. It definitely has an older rustic feel to it. The staff was very helpful and answered all of our questions which I am sure they are asked again and again. Our stay was quiet and comfortable. The Latchstring Inn had a nice menu and their breakfast was the best.  If you are looking for quiet this is the place. I give it 4 stars because I wish the mattress I slept on was a bit better.,448,False,False
First PREMIER Bank,"Bank, ATM","Jay Salonen is by far the best loan officer in Sioux Falls! He not only exemplifies great customer service on a very personal level, he will go out of his way to keep you as his client! First PREMIER Bank is so lucky to have him!",229,False,False
Perkins Restaurant & Bakery,"Restaurant, Bakery, Family restaurant",The staff was extremely nice..I meet my sister for the first time in 50 yrs..here...so blessed..our mother loved perkins,120,False,False
Family Fare Supermarket,"Grocery store, Bakery, Caterer, Deli, Gourmet grocery store, Grocery delivery service, Supermarket","Staff is sometimes not the best, which is why you are getting 4 stars.

Decent selection, overpriced compared to wal mart, but less hassle.

Not the best, not the worst.

But i do appreciate being able to come in and pay bills at your service desk.",248,False,False
Slim Chickens,"Chicken restaurant, American restaurant, Caterer, Fast food restaurant, Restaurant",Love those cayenne ranch chicken sandwich.,42,False,True
Pita Pit,"Sandwich shop, Caterer, Fast food restaurant, Mediterranean restaurant","First time eating there, pretty good pitas with a lot of options!",65,False,False
Reptile Gardens,"Zoo, Botanical garden, Tourist attraction","This is a fabulous place with bird, snake, and alligator shows. Lots to keep you busy for 3+ hours!",99,False,True
Obscure Brewing Co.,Brewery,"Beer fair, service terrible.",28,False,True
Himalayan Kitchen,Indian restaurant,My favorite restaurant in Rapid City the staff go above and beyond for there customers,86,True,False
Austad's Golf - Sioux Falls,Sporting goods store,Jason was so knowledgeable and helpful! I can’t wait to use my new clubs. Great service!,88,False,True
Phillips Avenue Diner,"American restaurant, Diner, Family restaurant, Ice cream shop, Restaurant",Top notch diner-type selections,31,False,True
Pizza Ranch,"Buffet restaurant, Chicken restaurant, Delivery Restaurant, Pizza delivery, Pizza restaurant, Pizza Takeout, Restaurant","First experience was great. Second, not so good. Food was good but service was mediocre. #flattenthefear",104,False,False
PAve,"Bar, Night club, Restaurant",Drinks were good.,17,False,False
Hef's Bar and Grill,Bar & grill,"Fun, friendly. Make you feel like norm on 'cheers'. Small town feel",67,False,False
Motel 6 Hot Springs SD,"Motel, Hotel","Stayed in room 219 for 2 nights during the eclipse.  Our room was freshly renovated and the new floors are great.  The beds are a bit hard though and there should be at least 1 or 2 more pillows per bed in such a trendy room.  I would also have an extra blanket in one of the open cubbys.

The room was pretty quiet except for the slam latch door closures and the fan that turns on automatically when you turn on the single bathroom  switch.  (Two of my biggest hotel pet peeves.)

Our room had a dorm 'frige and a very small microwave.  Sufficient soap, shampoo and bath towels were supplied.

There is a very small pool inside and plenty of parking, even for semi or large vehicles.

I cannot comment on any continental breakfast as I didn't not see anything other than a coffee carafe and it was extremely strong.

I visited with Mark Patel about a couple misc maintenance items I saw that could be remedied quickly.  (Carpenter's daughter, I just see this stuff.)

I'd stay here again.",989,False,False
Dignity Statue,Cultural landmark,Clean and stunning statue..,27,False,False
Museum of Geology,"Science museum, Natural history museum, Tourist attraction",Very educational and interesting. Worth taking the kids to.,59,False,False
Dollar General,"Dollar store, Convenience store, Discount store, Drug store, Grocery store","Great customer service, great people and to top it off prices are great as well",79,False,False
Claw Antler & Hide Co,"Store, Collectibles store, Hat shop, Jewelry store, Native american goods store, Rug store","The website was super easy to navigate, pictures and measurements of all items were clearly displayed
So you know exactly what you are ordering, and you get exactly what the pictures indicate. Prices are super reasonable, shipping is FAST! They even gave me a partial refund on shipping! Honest, reliable, great product! Super happy with my purchases! Thanks so much!",367,False,True
Luxury Auto Mall of Sioux Falls,"Car dealer, BMW dealer, Cadillac dealer, Mercedes-Benz dealer, Used car dealer",Always great service at luxury auto mall. A clean car is always a treat. Thank you!,83,False,True
Lucky Strike Casino,Casino,"If you're looking for that one place that gives you that old familiar ""everybody knows your name"", cheers, friendly neiborhood type vibe, this is the place for you.
I love coming here to play my odds an SD chat with the friendly staff. Ask for Jim, the manager and him or any of the friendly staff will treat you like it's your already a winner.
I've hit here more than most places I've been and for that, lucky strike I thank you.",431,False,False
Rapid City Driver's License Exam Station,"Department of motor vehicles, Department of Transportation",These people were just great. Made the process of changing state residents very easy. Great people.,99,False,False
Cook's Kitchen Inc,Breakfast restaurant,We had a wonderful breakfast here.   The atmosphere is comfortable and the food is AMAZING.  Bring your appetite if you plan on even a single pancake.  What impressed me the most was the teamwork.  Everyone helped to fill coffee and waters anytime they could.   I can't recommend Cook's enough.  We will definitely  be back.,324,False,False
Body Count Tattoo,Tattoo shop,"Maria is an absolutely amazing artist!  The shop manager Jess, is outstanding!   My tattoo times were confirmed in triplicate,  definitely  on top of their game!   Thank you for accommodating me at such late notice too.",219,False,True
Warne Chemical & Equipment Co,"Lawn care service, Agricultural product wholesaler, Chemical wholesaler, Equipment supplier, Pest control service",great products,14,False,False
Crow Peak Lodge,Motel,Gross,5,False,True
Black Hills Truck & Trailer,"Truck dealer, Truck repair shop, Used truck dealer",Customer service was not good.,30,False,True
Schulte Subaru,"Subaru dealer, Auto broker, Auto repair shop, Car dealer","A friend recommended Schulte Subaru and to ask for Andrew. As soon as I walked in the door it felt amazing...like family.

There was an impressive amount of used vehicles to choose from in my price range and Andrew found out about my needs and interests to help me find a used Honda Pilot that was perfect for us!  There was no pressure and several options were available for financing or paying cash.

Buying a vehicle from a dealership that cares for our community feels good. They financially support many important organizations and even care for pets by showcasing pets available for adoption with pictures  in the customer lounge.

I noticed how each salesperson’s name was etched on glass at each office entry and commented on how that indicated that employees don’t turnover like other dealerships. Sure enough, they confirmed just how long employees stay there.

I’m grateful for a dealership like this in our community where staff and customers are respected.",969,False,True
Walmart Supercenter,"Department store, Clothing store, Craft store, Discount store, Electronics store, Grocery store, Home goods store, Sporting goods store, Supermarket, Toy store","Good location, easy in and out.",31,False,False
Brookings Summer Arts Festival,Festival,"Always a great event with a large variety of Arts and crafts.   Two aisles of food vendors with many specialty and unique food items. Can easily spend the entire day there.  There is live entertainment and a flea market as well as national artists, painters, craftsmen as well as local vendors.",294,False,False
Anytime Fitness,"Fitness center, Gym, Personal trainer, Physical fitness program, Tanning salon",Has more members now,20,False,False
Applebee's Grill + Bar,"Restaurant, American restaurant, Bar & grill, Diner, Family restaurant, Hamburger restaurant, Steak house, Traditional American restaurant",Not bad for out late with friends.... But not the best choice either,68,False,False
Jacky's Restaurant,Guatemalan restaurant,"While the food is good, the service is not so much. We, along with several other parties, waited by the door for 20+ minutes to be seated. Staff passed by and didn’t bother taking names or seating us, even though tables were open. We ordered take out and it took an extra 45 minutes to get our order. Seems a little unorganized.",328,False,False
Rice's Rapid Motorsports,"Motorcycle dealer, ATV dealer, Boat accessories supplier, Boat dealer, Honda dealer, Marine supply store, Motorcycle shop, Snowmobile dealer, Suzuki motorcycle dealer, Triumph motorcycle dealer",Great service! Everyone was friendly and very helpful. We purchased a 2006 Suzuki Hyabusa. Mark Ramirez was great to work with. Carol Berry did the paperwork. She made it very easy to get the financing. We recommend Rice’s Rushmore Motorsports!,244,False,False
Kohl's,Department store,Organized store and friendly employees,38,False,False
Tailgate Restaurant And Lounge Huron Sd,"American restaurant, Fine dining restaurant",Great taste and quick ssrvice.,30,False,False
Black Hills Harley-Davidson,"Harley-Davidson dealer, Clothing store, Motor scooter repair shop, Motorcycle dealer, Motorcycle parts store, Motorcycle rental agency, Motorcycle repair shop, Motorcycle shop, Motorsports store",mechanic did a quick check on the compensator  just installed 4 days ago and on my way in one hour during Sturgis Rally.,120,False,False
Dollar General,"Dollar store, Convenience store, Discount store, Drug store, Grocery store",Super nice staff,16,False,False
Sisseton Ace Hardware,"Hardware store, Home improvement store, Paint store, Tool store",Very helpful workers!,21,False,True
McDonald's,Fast food restaurant,Double Quarter Pounder is always a good sandwich.,49,False,False
LongHorn Steakhouse,"Steak house, Bar & grill, Barbecue restaurant, Family restaurant, Takeout Restaurant, Traditional American restaurant",Great food. Steak tender and juicy. Service was excellent.,58,False,False
Karmazin Dental,"Dentist, Cosmetic dentist, Dental clinic, Dental hygienist, Dental implants periodontist, Emergency dental service, Pediatric dentist, Teeth whitening service",Love Karmazine Dental!!! They are so awesome with my kids!!,59,False,False
Try It Again,"Thrift store, Clothing store",Always a great experience!,26,False,False
Taco Bell,"Fast food restaurant, Breakfast restaurant, Burrito restaurant, Lunch restaurant, Takeout Restaurant, Mexican restaurant, Restaurant, Taco restaurant, Tex-Mex restaurant, Vegetarian restaurant",Nothing special about this Bell. Just a clean restaurant and decent food.,73,False,False
Falls Park Visitor Information Center,Tourist information center,Fun place to explore!,21,False,False
Boyds Hardwood Gunstocks,Internet shop,Stock fit perfectly for my Ruger 77 MkII. Finish was nice and seems well done.  Would recommend to anyone looking to replace their stock.,137,False,False
Econo Lodge Black Hills,Hotel,"Only stayed for one night, I'm a housekeeper so naturally I go thru rooms I rent....hair in the tub, soap skum in the sink, not dusted. The beds are comfortable however, laid down at midnight and don't remember falling asleep! Rooms could use some renovation, but it's a older hotel. Good place to stay to lay your head.",320,False,False
Walmart Supercenter,"Department store, Clothing store, Craft store, Discount store, Electronics store, Grocery store, Home goods store, Sporting goods store, Supermarket, Toy store",Quick and easy,14,False,False
Luxury Auto Mall of Sioux Falls,"Car dealer, BMW dealer, Cadillac dealer, Mercedes-Benz dealer, Used car dealer","Having driven MB for 40 years, it was as expected with the only difference lately is the constant request to submit more reviews.",129,False,True
Buffalo Wild Wings,"Chicken wings restaurant, American restaurant, Bar & grill, Takeout Restaurant, Restaurant, Sports bar","We had a party of 32 people and our waitress was so kind, and patient...the food was amazing and they even had an option for my friend who doesn't like chicken...I will definitely be coming back!",195,False,False
Vern Eide Acura,Acura dealer,Love the service department 🥰  They take great care of my special MDX 🚘,71,False,False
Gold Country Inn,"Motel, Cafe, Casino, Hotel","The absolute best place to stay in Deadwood.
The staff is excellent.
We had a medical emergency during our visit and had to stay longer than planned.
Management took care of everything and kept us in our room past our reserved time so that we didn't have to worry about moving.
They really took care of us.",306,False,False
Shopko Aberdeen,Supermarket,They can be pricey but their clearance sales are awesome!,57,False,False
Oakwood Lakes State Park,"State park, Park, Tourist attraction",Fun place to stay,17,False,False
Boyds Wine & Spirits,"Liquor store, Beer store, Wine store",Moscoto pink,12,False,False
Szechwan | Chinese Restaurant,"Chinese restaurant, Chinese takeaway, Sichuan restaurant",Always pretty good.,19,False,False
The World's Only Corn Palace,Tourist attraction,"The redone interior is well-thought-out. I'm happy to see the history in photographs through the years are on display in the upper hallway. Also, all the Oscar Howe line drawings. It was fun to walk out on balcony on the front",226,True,True
Family Fare Supermarket,"Grocery store, Bakery, Caterer, Deli, Gourmet grocery store, Grocery delivery service, Supermarket","I'm not entirely thrilled about the prices or the quality of the food sold here. The milk I bought went bad a full week before the expiration date.

It is convenient to have a bank service inside the store along with a Starbucks. This town is proving that there's no such thing as too many coffee shops, amirite?",312,False,False
Wall Drug Store,"Drug store, Art gallery, Cafe, Gift shop, Tourist attraction",Awesome place with a cool backstory. Every one is super friendly,64,False,False
Jerry's Cakes & Donuts,Bakery,Always the best,15,False,False
Holiday Inn Sioux Falls-City Centre,Hotel,"The front desk staff is great! Location of Hotel is convenient. They are in a desperate need of an upgrade especially when it comes to the heating and air system. This is the second time I've stayed at this property and the second time this has been an issue. I will say that the front desk staff and management were responsive and courteous. Breakfast was great! Clean, and fresh with friendly staff. Nearby dinner options. I tried ordering room service and that was a disaster with one item missing and another wrong. I finally got the missing item and that was wrong too. Probably will not return to this property.",617,False,False
Shell,"Gas station, ATM, Convenience store",Good place,10,False,False
Naughti Wines,"Winery, Brewery, Restaurant, Tourist attraction",Bob and beer were great,23,False,False
Books-A-Million,"Book store, Comic book store, Gift shop, Magazine store, Music store, Toy store",My daughter and I love this book store.,39,False,False
GreatLIFE Suburban Lanes Family Fun Center,"Bowling alley, Event venue, Indoor golf course",Chicken sandwich with tater tots was great!,43,False,False
Big Thunder Gold Mine,"Tourist attraction, Coffee shop, Gift shop, Restaurant",Been there before and is an awesome experience.  Always a great time.,69,False,False
Ruby Tuesday,"American restaurant, Bar, Restaurant",Love their salad bar,20,False,False
New Effington Information Center,Tourist information center,"Very helpful,  answered all my questions
I caught a bunch of pokemon and spum a few times.",90,False,False
South Dakota Farmers Union,Auto insurance agency,"Who is it. Is it u i bet it is obab it is. Ok at the end of this going on15st there is a green housei see it from our house but ia
On 1444ill ave there is 2flow pots here by steaps a fly by my winder there is a sho busout here just left. Cleam just saw u go by down here or he thenk. S that trailrer is not ouuti.n front of thehouse mno. More",342,False,False
"Comfort Heroes Plumbing, Heating & Air","Plumber, Air conditioning contractor, Heating contractor, Water treatment supplier",James was knowledgeable and quickly repaired our problem.,57,False,True
